LP,163,one ONE hundred,True,"[0.8186718821525574, 0.721342921257019, 0.7858228087425232, 0.9144830703735352]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
NNPP,,,,[0.8876129388809204],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
NRM,,,,[0.8839132189750671],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
PDP,3,THREE,True,"[0.772525429725647, 0.7785875201225281, 0.9032627940177916, 0.8662940859794617]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
SDP,,,,[0.8839032053947449],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
YPP,,,True,"[0.8512541055679321, 0.8771108984947205]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
ZLP,,one hundred,,"[0.8866322040557861, 0.7662776112556458]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
Political Party,Vote Score (Figure),Vote Score (Word),Signature,confidence,image_path
A,I,ONE,,"[0.8835892081260681, 0.8530815839767456, 0.8953959941864014]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
AA,,,,[0.8871847987174988],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
AAC,,,,[0.8855069875717163],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
ADC,,,,[0.8918886780738831],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
ADP,,,,[0.8803897500038147],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
APC,,,,[0.8739631175994873],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
APGA,,,,[0.8698388338088989],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
APM,1,ONE,,"[0.8511082530021667, 0.8514484167098999, 0.8832738399505615]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
APP,,,,[0.9032025337219238],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
BP,,,,[0.8885011672973633],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
LP,183 $10,EIGHTY. THREAT,True,"[0.6996796131134033, 0.7460898756980896, 0.7075193524360657, 0.4463354051113128, 0.8797370791435242, 0.7457308769226074]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
NNPP,,,,[0.862767219543457],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
NRM,,,,[0.8782390356063843],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
