Entity,Matched Template,Score,Votes,confidence,image_path
8. Total Number of Used Ballots Papers (Total of #5 + #6 + #7 above),8. Total Number of Used Ballot Papers (Total of #5 + #6 + #7 above),99,65,"[0.8434064388275146, 0.8699655532836914]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_021_unwrap.jpg
Entity,Matched Template,Score,Votes,confidence,image_path
1. Number of Voters on the Register,1. Number of Voters on the Register,100,666,"[0.8016639351844788, 0.8465422987937927]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_019_unwrap.jpg
2. Number of Accredited Voters,2. Number of Accredited Voters,100,100,"[0.7959855198860168, 0.8533739447593689]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_019_unwrap.jpg
3. Number of Ballot Papers Issued to the Polling Units,3. Number of Ballot Papers Issued to the Polling Units,100,628,"[0.8555862307548523, 0.7900354266166687]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_019_unwrap.jpg
4. Number of Unused Ballot Papers,4. Number of Unused Ballot Papers,100,528,"[0.8250350952148438, 0.8039487600326538]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_019_unwrap.jpg
5. Number of Spoiled Ballot Papers,5. Number of Spoiled Ballot papers,100,4,"[0.8456329703330994, 0.7967168092727661]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_019_unwrap.jpg
6. Number of Rejected Ballots,6. Number of Rejected Ballots,100,O.,"[0.8269924521446228, 0.8114041686058044]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_019_unwrap.jpg
7. Number of Total Valid Votes (Total Valid Votes cast for all parties),7. Number of Total Valid Votes (Total valid Votes cast for all parties),100,96,"[0.8425855040550232, 0.8306680917739868]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_019_unwrap.jpg
8. Total Number of Used Ballots Papers (Total of #5 + #6 + #7 above),8. Total Number of Used Ballot Papers (Total of #5 + #6 + #7 above),99,100,"[0.8491224646568298, 0.8599662780761719]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_019_unwrap.jpg
Entity,Matched Template,Score,Votes,confidence,image_path
1. Number of Voters on the Register,1. Number of Voters on the Register,100,241 Two HUNDRED AND FORESTY ONE,"[0.7484548091888428, 0.6605114340782166]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_013_unwrap.jpg
2. Number of Accredited Voters,2. Number of Accredited Voters,100,241 47 FOURTY Seven,"[0.7961922287940979, 0.3304072916507721]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_013_unwrap.jpg
3. Number of Ballot Papers Issued to the Polling Units,3. Number of Ballot Papers Issued to the Polling Units,100,TWO HUNDRED AND FOURT ONE,"[0.7118409276008606, 0.3984639346599579]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_013_unwrap.jpg
4. Number of Unused Ballot Papers,4. Number of Unused Ballot Papers,100,FOURTY Sevenal,"[0.7294809818267822, 0.2606999576091766]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_013_unwrap.jpg
5. Number of Spoiled Ballot Papers,5. Number of Spoiled Ballot papers,100,None ONe,"[0.6846671104431152, 0.8040563464164734]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_013_unwrap.jpg
6. Number of Rejected Ballots,6. Number of Rejected Ballots,100,,"[0.7560378909111023, 0.6667405366897583]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_013_unwrap.jpg
"7, Number of Total Valid Votes (Total Valid Votes cast for all parties)",7. Number of Total Valid Votes (Total valid Votes cast for all parties),100,X,"[0.8167098164558411, 0.6680510640144348]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_013_unwrap.jpg
8. Total Number of Used Ballots Papers (Total of #5 + #6 + #7 above),8. Total Number of Used Ballot Papers (Total of #5 + #6 + #7 above),99,47,"[0.7932484745979309, 0.4322543442249298]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_013_unwrap.jpg
Entity,Matched Template,Score,Votes,confidence,image_path
1 Number of Vaters on the Register,1. Number of Voters on the Register,97,655,"[0.7023508548736572, 0.743500828742981]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_05/ward_08/01_05_08_007_unwrap.jpg
2 Number of Accredited Voters,2. Number of Accredited Voters,100,131-,"[0.7343876957893372, 0.5007361173629761]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_05/ward_08/01_05_08_007_unwrap.jpg
3: Number of Ballot Papers Issuedito the Polling Units,3. Number of Ballot Papers Issued to the Polling Units,94,132,"[0.7771064639091492, 0.645028829574585]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_05/ward_08/01_05_08_007_unwrap.jpg
4. Number of United Ballot Papers,4. Number of Unused Ballot Papers,94,525,"[0.7344300746917725, 0.432952731847763]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_05/ward_08/01_05_08_007_unwrap.jpg
5. Number of Spoiled Ballot/Pass,5. Number of Spoiled Ballot papers,94,O,"[0.796073317527771, 0.318385511636734]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_05/ward_08/01_05_08_007_unwrap.jpg
6. Number of Rejected Ballots,6. Number of Rejected Ballots,100,,[0.6924687623977661],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_05/ward_08/01_05_08_007_unwrap.jpg
"2, Number of Total Valid Votes (Total-Valid Votes cast for all parties)",7. Number of Total Valid Votes (Total valid Votes cast for all parties),99,129/28/16,"[0.4543964862823486, 0.4108633697032928]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_05/ward_08/01_05_08_007_unwrap.jpg
R Total Number of Used Ballots Papers Total of #5 1. #6 + #7 above),8. Total Number of Used Ballot Papers (Total of #5 + #6 + #7 above),94,132,"[0.6911060214042664, 0.684939444065094]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_05/ward_08/01_05_08_007_unwrap.jpg
Entity,Matched Template,Score,Votes,confidence,image_path
1. Number of Voters on the Register,1. Number of Voters on the Register,100,One and Ningly one (1091),"[0.7520188093185425, 0.7389817237854004]",../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_007_unwrap.jpg
2. Number of Accredited Voters,2. Number of Accredited Voters,100,,[0.7578057646751404],../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_007_unwrap.jpg
